iter	Passed	Remaining
799	13437	3359
800	13454	3342
801	13471	3325
802	13488	3309
803	13504	3292
804	13521	3275
805	13538	3258
806	13554	3241
807	13571	3224
808	13587	3208
809	13604	3191
810	13621	3174
811	13638	3157
812	13655	3141
813	13673	3124
814	13690	3107
815	13706	3090
816	13722	3073
817	13740	3057
818	13757	3040
819	13774	3023
820	13791	3006
821	13807	2989
822	13824	2973
823	13840	2956
824	13857	2939
825	13873	2922
826	13890	2905
827	13906	2888
828	13923	2871
829	13940	2855
830	13957	2838
831	13977	2822
832	13993	2805
833	14009	2788
834	14026	2771
835	14042	2754
836	14060	2738
837	14076	2721
838	14093	2704
839	14110	2687
840	14127	2670
841	14143	2654
842	14161	2637
843	14177	2620
844	14194	2603
845	14211	2586
846	14228	2570
847	14245	2553
848	14262	2536
849	14280	2520
850	14296	2503
851	14313	2486
852	14331	2469
853	14348	2452
854	14364	2436
855	14381	2419
856	14397	2402
857	14414	2385
858	14431	2368
859	14447	2351
860	14463	2335
861	14480	2318
862	14495	2301
863	14512	2284
864	14529	2267
865	14546	2250
866	14563	2234
867	14579	2217
868	14595	2200
869	14612	2183
870	14629	2166
871	14645	2149
872	14662	2133
873	14679	2116
874	14715	2102
875	14736	2085
876	14751	2068
877	14767	2051
878	14783	2035
879	14798	2017
880	14814	2001
881	14830	1984
882	14847	1967
883	14863	1950
884	14879	1933
885	14896	1916
886	14912	1899
887	14929	1882
888	14945	1866
889	14961	1849
890	14977	1832
891	14993	1815
892	15009	1798
893	15026	1781
894	15043	1764
895	15059	1747
896	15075	1731
897	15091	1714
898	15108	1697
899	15124	1680
900	15141	1663
901	15157	1646
902	15174	1629
903	15190	1613
904	15206	1596
905	15223	1579
906	15239	1562
907	15255	1545
908	15272	1528
909	15288	1512
910	15305	1495
911	15322	1478
912	15338	1461
913	15354	1444
914	15370	1427
915	15386	1411
916	15402	1394
917	15419	1377
918	15436	1360
919	15453	1343
920	15470	1327
921	15487	1310
922	15504	1293
923	15521	1276
924	15538	1259
925	15554	1243
926	15571	1226
927	15587	1209
928	15603	1192
929	15620	1175
930	15636	1158
931	15653	1142
932	15669	1125
933	15686	1108
934	15702	1091
935	15719	1074
936	15736	1058
937	15752	1041
938	15768	1024
939	15784	1007
940	15801	990
941	15818	973
942	15835	957
943	15852	940
944	15869	923
945	15885	906
946	15902	889
947	15919	873
948	15936	856
949	15953	839
950	15971	822
951	15988	806
952	16006	789
953	16022	772
954	16040	755
955	16058	739
956	16075	722
957	16092	705
958	16109	688
959	16127	671
960	16143	655
961	16160	638
962	16177	621
963	16193	604
964	16210	587
965	16227	571
966	16244	554
967	16260	537
968	16276	520
969	16293	503
970	16310	487
971	16327	470
972	16343	453
973	16360	436
974	16377	419
975	16394	403
976	16411	386
977	16427	369
978	16443	352
979	16460	335
980	16476	319
981	16493	302
982	16510	285
983	16526	268
984	16542	251
985	16559	235
986	16575	218
987	16591	201
988	16608	184
989	16625	167
990	16641	151
991	16657	134
992	16674	117
993	16690	100
994	16707	83
995	16723	67
996	16739	50
997	16755	33
998	16772	16
999	16788	0
